rank,show name,IMDb page link,IMDb rating,# of ratings,genre,airing years,rating system,top casts
1,Planet Earth II(2016),http://imdb.com/title/tt5491994/,9.5,105000,Documentary,2016,TV-G,David Attenborough
2,Planet Earth(2006),http://imdb.com/title/tt0795176/,9.4,174000,Documentary,2006,TV-PG,"David Attenborough, Sigourney Weaver, Nikolay Drozdov, Thomas Anguti Johnston, Huw Cordey, Doug Allan, Mark Linfield, Doug Anderson, Tom Clarke, Dany Cleyet-Marrel, Justine Evans, Mike Holding, Chadden Hunter, Choi Jen, Tania Jenkins, Jonathan Keeling, Michael Kelem, Simon King"
3,Breaking Bad(2008),http://imdb.com/title/tt0903747/,9.4,1600000,"Crime, Drama, Thriller",2008–2013,TV-MA,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt, RJ Mitte, Dean Norris, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito, Charles Baker, Jesse Plemons, Christopher Cousins, Laura Fraser, Matt Jones, Michael Shamus Wiles, Lavell Crawford, Ray Campbell"
4,Band of Brothers(2001),http://imdb.com/title/tt0185906/,9.4,401000,"Action, Drama, History",2001,TV-MA,"Scott Grimes, Damian Lewis, Ron Livingston, Shane Taylor, Donnie Wahlberg, Peter Youngblood Hills, Matthew Leitch, Nicholas Aaron, Philip Barantini, Michael Cudlitz, Dexter Fletcher, Rick Gomez, James Madio, Ross McCall, Doug Allen, George Calil, Nolan Hemmings, Robin Laing"
5,Chernobyl(2019),http://imdb.com/title/tt7366338/,9.3,618000,"Drama, History, Thriller",2019,TV-MA,"Jessie Buckley, Jared Harris, Stellan Skarsgård, Adam Nagaitis, Emily Watson, Paul Ritter, Robert Emms, Sam Troughton, Karl Davies, Michael Socha, Laura Elphinstone, Jan Ricica, Adrian Rawlins, Alan Williams, Con O'Neill, Douggie McMeekin, Nadia Clifford, David Dencik"
6,The Wire(2002),http://imdb.com/title/tt0306414/,9.3,306000,"Crime, Drama, Thriller",2002–2008,TV-MA,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce, John Doman, Deirdre Lovejoy, Seth Gilliam, Domenick Lombardozzi, Clarke Peters, Andre Royo, Michael Kenneth Williams, Jim True-Frost, Frankie Faison, Corey Parker Robinson, Delaney Williams, J.D. Williams, Wood Harris, Idris Elba"
7,Blue Planet II(2017),http://imdb.com/title/tt6769208/,9.3,37000,Documentary,2017,TV-G,"David Attenborough, Peter Drost, Roger Horrocks, Roger Munns"
8,Our Planet(2019),http://imdb.com/title/tt9253866/,9.2,38000,Documentary,2019,TV-G,David Attenborough
9,Cosmos: A Spacetime Odyssey(2014),http://imdb.com/title/tt2395695/,9.2,116000,Documentary,2014,TV-PG,"Neil deGrasse Tyson, Enn Reitel, Stoney Emshwiller, Christopher Emerson, Piotr Michael, André Sogliuzzo, Larry Cedar, Kirsten Dunst, Phil LaMarr, Amanda Seyfried, Maria Frucci, Seth MacFarlane, Fred Tatasciore, Peggy Jo Jacobs, John Steven Rocha, Keythe Farley, Marlee Matlin, Alfred Molina"
10,Avatar: The Last Airbender(2005),http://imdb.com/title/tt0417299/,9.2,274000,"Animation, Action, Adventure",2005–2008,TV-Y7-FV,"Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman, Jack De Sena, Dante Basco, Michaela Jill Murphy, Mako, Grey Griffin, André Sogliuzzo, Cricket Leigh, Mark Hamill, Jennie Kwan, Olivia Hack, Greg Baldwin, Jim Meskimen, James Garrett, Jason Isaacs, James Sie"
